Factor,feature,Portion,Design,n_simulation,N
Random Normal,Random Normal,0.32407353726206445,Definitive Screening Design,98,17
X1,X1,0.06320033209590807,Definitive Screening Design,99,17
X2,X2,0.6345809466911783,Definitive Screening Design,99,17
X3 (non-informative),X3,0.1013461746804872,Definitive Screening Design,99,17
Random Normal,Random Normal,0.20087254653242648,Definitive Screening Design,99,17
X1,X1,0.07775012805966672,Definitive Screening Design,100,17
X2,X2,0.613860069186312,Definitive Screening Design,100,17
X3 (non-informative),X3,0.09953918836049311,Definitive Screening Design,100,17
Random Normal,Random Normal,0.20885061439352817,Definitive Screening Design,100,17
X1,X1,0.0389372829741881,Definitive Screening Design,101,17
X2,X2,0.4342166292337245,Definitive Screening Design,101,17
X3 (non-informative),X3,0.06921113220442734,Definitive Screening Design,101,17
Random Normal,Random Normal,0.45763495558766,Definitive Screening Design,101,17
X1,X1,0.06741537496200699,Definitive Screening Design,102,17
X2,X2,0.6019827828995613,Definitive Screening Design,102,17
X3 (non-informative),X3,0.13968760478068212,Definitive Screening Design,102,17
Random Normal,Random Normal,0.19091423735774948,Definitive Screening Design,102,17
X1,X1,0.10448271212321462,Definitive Screening Design,103,17
X2,X2,0.4269705504127654,Definitive Screening Design,103,17
X3 (non-informative),X3,0.07583231848434564,Definitive Screening Design,103,17
Random Normal,Random Normal,0.39271441897967424,Definitive Screening Design,103,17
X1,X1,0.08009156613559612,Definitive Screening Design,104,17
X2,X2,0.5926432982974411,Definitive Screening Design,104,17
X3 (non-informative),X3,0.1458975117565774,Definitive Screening Design,104,17
Random Normal,Random Normal,0.18136762381038526,Definitive Screening Design,104,17
X1,X1,0.08427182778890267,Definitive Screening Design,105,17
X2,X2,0.610495397936421,Definitive Screening Design,105,17
X3 (non-informative),X3,0.12409783630912133,Definitive Screening Design,105,17
Random Normal,Random Normal,0.181134937965555,Definitive Screening Design,105,17
X1,X1,0.08597078113107846,Definitive Screening Design,106,17
X2,X2,0.5736161552878634,Definitive Screening Design,106,17
